fp	LawNum	LawTitle	LawType	Era	Year	Num
昭和25年/325M50001000004_20161001_000000000000000.xml	昭和二十五年郵政省令第四号	公職選挙郵便規則	MinisterialOrdinance	Showa	25	004
昭和20年/320AC0000000046_20150801_000000000000000.xml	昭和二十年法律第四十六号	昭和二十年法律第四十六号（戦時民事特別法廃止法律）	Act	Showa	20	46
昭和44年/344CO0000000254_20200401_501CO0000000102.xml	昭和四十四年政令第二百五十四号	農業振興地域の整備に関する法律施行令	CabinetOrder	Showa	44	254
平成10年/410AC0000000116_20150801_000000000000000.xml	平成十年法律第百十六号	対人地雷の製造の禁止及び所持の規制等に関する法律	Act	Heisei	10	116
平成20年/420M60000742002_20161001_000000000000000.xml	平成二十年内閣府・財務省・厚生労働省・農林水産省・経済産業省令第二号	犯罪利用預金口座等に係る資金による被害回復分配金の支払等に関する法律第三十六条第一項の規定による立入検査をする職員の携帯する身分を示す証明書の様式を定める命令	MinisterialOrdinance	Heisei	20	002
令和元年/501M60000800010_20190701_501M60000800020.xml	令和元年国土交通省令第十号	国土交通省関係平成三十二年東京オリンピック競技大会・東京パラリンピック競技大会特別措置法施行規則	MinisterialOrdinance	Reiwa	01	010
平成25年/425AC0000000051_20150801_000000000000000.xml	平成二十五年法律第五十一号	株式会社海外需要開拓支援機構法	Act	Heisei	25	51
平成23年/423M60000800005_20161001_000000000000000.xml	平成二十三年国土交通省令第五号	山村境界基本調査作業規程準則	MinisterialOrdinance	Heisei	23	5
昭和53年/353CO0000000031_20150801_000000000000000.xml	昭和五十三年政令第三十一号	中小企業倒産防止共済法施行令	CabinetOrder	Showa	53	31
昭和33年/333CO0000000045_20170401_428CO0000000380.xml	昭和三十三年政令第四十五号	中小企業団体の組織に関する法律施行令	CabinetOrder	Showa	33	45
昭和41年/341M50000040004_20180401_430M60000040022.xml	昭和四十一年大蔵省令第四号	石油ガス税法施行規則	MinisterialOrdinance	Showa	41	4
昭和46年/346M50000002033_20161001_000000000000000.xml	昭和四十六年総理府令第三十三号	恩給法等の一部を改正する法律附則第十三条の規定により給すべき特例傷病恩給の請求手続に関する省令	MinisterialOrdinance	Showa	46	033
平成24年/424M60000204001_20161001_000000000000000.xml	平成二十四年復興庁・農林水産省令第一号	福島復興再生特別措置法第六十八条第二項に規定する農林水産大臣等に対する協議に関する命令	MinisterialOrdinance	Heisei	24	1
平成14年/414M60000200025_20190918_501M60000200030.xml	平成十四年農林水産省令第二十五号	厚生年金保険制度及び農林漁業団体職員共済組合制度の統合を図るための農林漁業団体職員共済組合法等を廃止する等の法律の施行に伴う存続組合が支給する特例年金給付等に関する省令	MinisterialOrdinance	Heisei	14	25
大正5年/205IO0000000256_20150801_000000000000000.xml	大正五年勅令第二百五十六号	大正五年勅令第二百五十六号（歳入納付ニ使用スル証券ニ関スル件）	ImperialOrder	Taisho	05	256
平成9年/409CO0000000357_20150801_000000000000000.xml	平成九年政令第三百五十七号	平成十七年に開催される国際博覧会の準備及び運営のために必要な特別措置に関する法律施行令	CabinetOrder	Heisei	09	357
平成12年/412CO0000000033_20150801_000000000000000.xml	平成十二年政令第三十三号	地方分権の推進を図るための関係法律の整備等に関する法律附則第百八十四条の規定による受入金の資金への受入れ等に関する経過措置に関する政令	CabinetOrder	Heisei	12	33
昭和47年/347M50000002035_20161001_000000000000000.xml	昭和四十七年総理府令第三十五号	沖縄の復帰に伴う琉球政府の権利義務の承継に関する内閣府令	MinisterialOrdinance	Showa	47	35
平成26年/426M60003ffa002_20191216_501M60003ffa004.xml	平成二十六年内閣府・総務省・法務省・外務省・財務省・文部科学省・厚生労働省・農林水産省・経済産業省・国土交通省・環境省・防衛省令第二号	フロン類算定漏えい量等の報告等に関する命令	MinisterialOrdinance	Heisei	26	2
平成19年/419CO0000000076_20151001_427CO0000000330.xml	平成十九年政令第七十六号	がん対策推進協議会令	CabinetOrder	Heisei	19	76
昭和38年/338M50000800016_20161001_000000000000000.xml	昭和三十八年運輸省令第十六号	内航船舶輸送統計調査規則	MinisterialOrdinance	Showa	38	016
平成29年/429M60000640001_20170801_000000000000000.xml	平成二十九年財務省・農林水産省・経済産業省令第一号	農業競争力強化支援法第二十六条第一項第一号及び第二号の農林水産省令・経済産業省令・財務省令で定める海外における中小企業者に準ずるもの及び金融機関を定める省令	MinisterialOrdinance	Heisei	29	001
昭和24年/324AC1000000279_20190914_501AC0000000037.xml	昭和二十四年法律第二百七十九号	国際観光ホテル整備法	Act	Showa	24	279
平成15年/415M60001200001_20181201_430M60001200003.xml	平成十五年農林水産省・環境省令第一号	農薬取締法に基づく農薬の使用の禁止に関する規定の適用を受けない場合を定める省令	MinisterialOrdinance	Heisei	15	1
昭和27年/327AC0000000041_20160401_426AC0000000069.xml	昭和二十七年法律第四十一号	外務公務員法	Act	Showa	27	41
昭和40年/340CO0000000157_20160401_428CO0000000043.xml	昭和四十年政令第百五十七号	近畿圏の近郊整備区域及び都市開発区域の整備及び開発に関する法律施行令	CabinetOrder	Showa	40	157
平成23年/423CO0000000232_20151001_427CO0000000328.xml	平成二十三年政令第二百三十二号	スポーツ基本法施行令	CabinetOrder	Heisei	23	232
昭和34年/334AC0000000160_20200401_429AC0000000045.xml	昭和三十四年法律第百六十号	中小企業退職金共済法	Act	Showa	34	160
平成10年/410AC0000000076_20150801_000000000000000.xml	平成十年法律第七十六号	平成十四年ワールドカップサッカー大会特別措置法	Act	Heisei	10	76
昭和53年/353M50000800070_20190701_501M60080000003.xml	昭和五十三年運輸省令第七十号	船舶に設置する原子炉（研究開発段階にあるものを除く。）の設置、運転等に関する規則	MinisterialOrdinance	Showa	53	070
平成23年/423M60000080022_20190701_501M60000080008.xml	平成二十三年文部科学省令第二十二号	プログラムの著作物に係る登録の特例に関する法律施行規則	MinisterialOrdinance	Heisei	23	22
昭和62年/362CO0000000302_20150801_000000000000000.xml	昭和六十二年政令第三百二号	大学設置・学校法人審議会令	CabinetOrder	Showa	62	302
昭和52年/352AC0000000093_20180331_430AC0000000009.xml	昭和五十二年法律第九十三号	水産加工業施設改良資金融通臨時措置法	Act	Showa	52	93
平成13年/413M60000010003_20200401_502M60000010011.xml	平成十三年法務省令第三号	刑務所、少年刑務所及び拘置所組織規則	MinisterialOrdinance	Heisei	13	003
平成19年/419CO0000000065_20180401_429CO0000000271.xml	平成十九年政令第六十五号	独立行政法人農畜産業振興機構法施行令	CabinetOrder	Heisei	19	65
昭和43年/343M50000008021_20161001_000000000000000.xml	昭和四十三年自治省令第二十一号	小笠原総合事務所組織規則	MinisterialOrdinance	Showa	43	021
昭和26年/326M50010000021_20200401_501M60000200011.xml	昭和二十六年農林省令第二十一号	農薬取締法施行規則	MinisterialOrdinance	Showa	26	21
昭和53年/353M50004800002_20161001_000000000000000.xml	昭和五十三年運輸省・建設省令第二号	特定空港周辺航空機騒音対策特別措置法施行規則	MinisterialOrdinance	Showa	53	002
平成9年/409RJNJ09102000_20180401_430RJNJ01071000.xml	平成九年人事院規則九―一〇二	人事院規則九―一〇二（研究員調整手当）	Rule	Heisei	09	
平成29年/429CO0000000028_20170801_000000000000000.xml	平成二十九年政令第二十八号	公的年金制度の財政基盤及び最低保障機能の強化等のための国民年金法等の一部を改正する法律の施行に伴う経過措置に関する政令	CabinetOrder	Heisei	29	028
平成27年/427M60000040074_20190801_430M60000040071.xml	平成二十七年財務省令第七十四号	被用者年金制度の一元化等を図るための厚生年金保険法等の一部を改正する法律の施行及び国家公務員の退職給付の給付水準の見直し等のための国家公務員退職手当法等の一部を改正する法律の一部の施行に伴う国家公務員共済組合法による長期給付等に関する経過措置に関する省令	MinisterialOrdinance	Heisei	27	74
